category,False,True,percentage,model_temp,size,status
cut_clauses,306,0,0.0,GPT-4o (T=0),large,base
embedded_clauses,329,12,3.5,GPT-4o (T=0),large,base
other_clauses,5498,4055,42.4,GPT-4o (T=0),large,base
cut_clauses,129,177,57.8,GPT-4o (T=0),large,fine-tuned
embedded_clauses,87,254,74.5,GPT-4o (T=0),large,fine-tuned
other_clauses,801,8752,91.6,GPT-4o (T=0),large,fine-tuned
cut_clauses,114,0,0.0,GPT-4o (T=0),medium,base
embedded_clauses,122,5,3.9,GPT-4o (T=0),medium,base
other_clauses,2122,1464,40.8,GPT-4o (T=0),medium,base
cut_clauses,75,39,34.2,GPT-4o (T=0),medium,fine-tuned
embedded_clauses,53,74,58.3,GPT-4o (T=0),medium,fine-tuned
other_clauses,383,3203,89.3,GPT-4o (T=0),medium,fine-tuned
cut_clauses,22,0,0.0,GPT-4o (T=0),small,base
embedded_clauses,23,1,4.2,GPT-4o (T=0),small,base
other_clauses,435,298,40.7,GPT-4o (T=0),small,base
cut_clauses,16,6,27.3,GPT-4o (T=0),small,fine-tuned
embedded_clauses,16,8,33.3,GPT-4o (T=0),small,fine-tuned
other_clauses,103,630,85.9,GPT-4o (T=0),small,fine-tuned
cut_clauses,306,0,0.0,GPT-4o mini (T=0),large,base
embedded_clauses,323,18,5.3,GPT-4o mini (T=0),large,base
other_clauses,5753,3800,39.8,GPT-4o mini (T=0),large,base
cut_clauses,190,116,37.9,GPT-4o mini (T=0),large,fine-tuned
embedded_clauses,136,205,60.1,GPT-4o mini (T=0),large,fine-tuned
other_clauses,1211,8342,87.3,GPT-4o mini (T=0),large,fine-tuned
cut_clauses,114,0,0.0,GPT-4o mini (T=0),medium,base
embedded_clauses,120,7,5.5,GPT-4o mini (T=0),medium,base
other_clauses,2149,1437,40.1,GPT-4o mini (T=0),medium,base
cut_clauses,87,27,23.7,GPT-4o mini (T=0),medium,fine-tuned
embedded_clauses,69,58,45.7,GPT-4o mini (T=0),medium,fine-tuned
other_clauses,646,2940,82.0,GPT-4o mini (T=0),medium,fine-tuned
cut_clauses,22,0,0.0,GPT-4o mini (T=0),small,base
embedded_clauses,23,1,4.2,GPT-4o mini (T=0),small,base
other_clauses,435,298,40.7,GPT-4o mini (T=0),small,base
cut_clauses,22,0,0.0,GPT-4o mini (T=0),small,fine-tuned
embedded_clauses,21,3,12.5,GPT-4o mini (T=0),small,fine-tuned
other_clauses,182,551,75.2,GPT-4o mini (T=0),small,fine-tuned
cut_clauses,193,113,36.9,GPT-4o mini (T=1),large,fine-tuned
embedded_clauses,137,204,59.8,GPT-4o mini (T=1),large,fine-tuned
other_clauses,1374,8179,85.6,GPT-4o mini (T=1),large,fine-tuned
cut_clauses,91,23,20.2,GPT-4o mini (T=1),medium,fine-tuned
embedded_clauses,68,59,46.5,GPT-4o mini (T=1),medium,fine-tuned
other_clauses,681,2905,81.0,GPT-4o mini (T=1),medium,fine-tuned
