verb_id,lex,scroll,book,chapter,verse_num,gcons_verb,gcons_verse,gcons_clause,subject,complement,cmpl_constr,cmpl_det,dir_he,preposition_1,preposition_2,preposition_3,preposition_4
391367,JY>[,MT,1_Chronicles,1,12,JY>W,W >T PTRSJM W >T KSLXJM >CR JY>W M CM PLCTJM W >T KPTRJM,>CR JY>W M CM PLCTJM,PLCTJM,M CM,prep,det,0,M,,,
396716,NWS[,MT,1_Chronicles,10,1,JNS,W PLCTJM NLXMW B JFR>L W JNS >JC JFR>L M PNJ PLCTJM W JPLW XLLJM B HR GLB<,W JNS >JC JFR>L M PNJ PLCTJM,>JC JFR>L,M PNJ PLCTJM,prep,det,0,M,,,
396723,NPL[,MT,1_Chronicles,10,1,JPLW,W PLCTJM NLXMW B JFR>L W JNS >JC JFR>L M PNJ PLCTJM W JPLW XLLJM B HR GLB<,W JPLW XLLJM B HR GLB<,,no complement,,,,,,,
396944,BW>[,MT,1_Chronicles,10,12,JBJ>WM,W JQWMW KL >JC XJL W JF>W >T GWPT C>WL W >T GWPT BNJW W JBJ>WM JBJCH W JQBRW >T <YMWTJHM TXT H >LH B JBC W JYWMW CB<T JMJM,W JBJ>WM JBJCH,,JBJCH,dir_he,det,1,,,,
396779,BW>[,MT,1_Chronicles,10,4,JB>W,W J>MR C>WL >L NF> KLJW CLP XRBK W DQRNJ BH PN JB>W H <RLJM H >LH W HT<LLW BJ W L> >BH NF> KLJW KJ JR> M>D W JQX C>WL >T H XRB W JPL <LJH,PN JB>W H <RLJM H >LH,H <RLJM H >LH,no complement,,,,,,,
396802,NPL[,MT,1_Chronicles,10,4,JPL,W J>MR C>WL >L NF> KLJW CLP XRBK W DQRNJ BH PN JB>W H <RLJM H >LH W HT<LLW BJ W L> >BH NF> KLJW KJ JR> M>D W JQX C>WL >T H XRB W JPL <LJH,W JPL <LJH,,<LJH,prep,det,0,<LJH,,,
396812,NPL[,MT,1_Chronicles,10,5,JPL,W JR> NF> KLJW KJ MT C>WL W JPL GM HW> <L H XRB W JMT,W JPL GM HW> <L H XRB,GM HW>,<L H XRB,prep,det,0,<L,,,
396841,NWS[,MT,1_Chronicles,10,7,NSW,W JR>W KL >JC JFR>L >CR B <MQ KJ NSW W KJ MTW C>WL W BNJW W J<ZBW <RJHM W JNSW W JB>W PLCTJM W JCBW BHM,KJ NSW,,no complement,,,,,,,
396852,NWS[,MT,1_Chronicles,10,7,JNSW,W JR>W KL >JC JFR>L >CR B <MQ KJ NSW W KJ MTW C>WL W BNJW W J<ZBW <RJHM W JNSW W JB>W PLCTJM W JCBW BHM,W JNSW,,no complement,,,,,,,
396854,BW>[,MT,1_Chronicles,10,7,JB>W,W JR>W KL >JC JFR>L >CR B <MQ KJ NSW W KJ MTW C>WL W BNJW W J<ZBW <RJHM W JNSW W JB>W PLCTJM W JCBW BHM,W JB>W PLCTJM,PLCTJM,no complement,,,,,,,
396864,BW>[,MT,1_Chronicles,10,8,JB>W,W JHJ M MXRT W JB>W PLCTJM L PCV >T H XLLJM W JMY>W >T C>WL W >T BNJW NPLJM B HR GLB<,W JB>W PLCTJM,PLCTJM,no complement,,,,,,,
396878,NPL[,MT,1_Chronicles,10,8,NPLJM,W JHJ M MXRT W JB>W PLCTJM L PCV >T H XLLJM W JMY>W >T C>WL W >T BNJW NPLJM B HR GLB<,NPLJM B HR GLB<,,no complement,,,,,,,
397269,NWS[,MT,1_Chronicles,11,13,NSW,HW> HJH <M DWJD B PS_DMJM W H PLCTJM N>SPW CM L MLXMH W THJ XLQT H FDH ML>H F<WRJM W H <M NSW M PNJ PLCTJM,W H <M NSW M PNJ PLCTJM,H <M,M PNJ PLCTJM,prep,det,0,M,,,
397291,JRD[,MT,1_Chronicles,11,15,JRDW,W JRDW CLWCH MN H CLWCJM R>C <L H YR >L DWJD >L M<RT <DLM W MXNH PLCTJM XNH B <MQ RP>JM,W JRDW CLWCH MN H CLWCJM R>C <L H YR >L DWJD >L M<RT <DLM,CLWCH MN H CLWCJM R>C,<L H YR,prep,det,0,<L,,,
397291,JRD[,MT,1_Chronicles,11,15,JRDW,W JRDW CLWCH MN H CLWCJM R>C <L H YR >L DWJD >L M<RT <DLM W MXNH PLCTJM XNH B <MQ RP>JM,W JRDW CLWCH MN H CLWCJM R>C <L H YR >L DWJD >L M<RT <DLM,CLWCH MN H CLWCJM R>C,>L DWJD,prep,det,0,>L,,,
397291,JRD[,MT,1_Chronicles,11,15,JRDW,W JRDW CLWCH MN H CLWCJM R>C <L H YR >L DWJD >L M<RT <DLM W MXNH PLCTJM XNH B <MQ RP>JM,W JRDW CLWCH MN H CLWCJM R>C <L H YR >L DWJD >L M<RT <DLM,CLWCH MN H CLWCJM R>C,>L M<RT <DLM,prep,det,0,>L,,,
397359,BW>[,MT,1_Chronicles,11,18,JB>W,W JBQ<W H CLCH B MXNH PLCTJM W JC>BW MJM M BWR BJT_LXM >CR B C<R W JF>W W JB>W >L DWJD W L> >BH DWJD L CTWTM W JNSK >TM L JHWH,W JB>W >L DWJD,,>L DWJD,prep,det,0,>L,,,
397394,BW>[,MT,1_Chronicles,11,19,HBJ>WM,W J>MR XLJLH LJ M >LHJ M <FWT Z>T H DM H >NCJM H >LH >CTH B NPCWTM KJ B NPCWTM HBJ>WM W L> >BH L CTWTM >LH <FW CLCT H GBWRJM,KJ B NPCWTM HBJ>WM,,no complement,,,,,,,
397024,JY>[,MT,1_Chronicles,11,2,MWYJ>,GM TMWL GM CLCWM GM B HJWT C>WL MLK >TH H MWYJ> W H MBJ> >T JFR>L W J>MR JHWH >LHJK LK >TH TR<H >T <MJ >T JFR>L W >TH THJH NGJD <L <MJ JFR>L,H MWYJ>,,no complement,,,,,,,
397027,BW>[,MT,1_Chronicles,11,2,MBJ>,GM TMWL GM CLCWM GM B HJWT C>WL MLK >TH H MWYJ> W H MBJ> >T JFR>L W J>MR JHWH >LHJK LK >TH TR<H >T <MJ >T JFR>L W >TH THJH NGJD <L <MJ JFR>L,W H MBJ> >T JFR>L,,no complement,,,,,,,
397446,BW>[,MT,1_Chronicles,11,21,B>,MN H CLWCH B CNJM NKBD W JHJ LHM L FR W <D H CLWCH L> B>,W <D H CLWCH L> B>,,<D H CLWCH,prep,det,0,<D,,,
397465,JRD[,MT,1_Chronicles,11,22,JRD,BNJH BN JHWJD< BN >JC XJL RB P<LJM MN QBY>L HW> HKH >T CNJ >RJ>L MW>B W HW> JRD W HKH >T H >RJ B TWK H BWR B JWM H CLG,W HW> JRD,HW>,no complement,,,,,,,
397503,JRD[,MT,1_Chronicles,11,23,JRD,W HW> HKH >T H >JC H MYRJ >JC MDH XMC B >MH W B JD H MYRJ XNJT K MNWR >RGJM W JRD >LJW B CBV W JGZL >T H XNJT M JD H MYRJ W JHRGHW B XNJTW,W JRD >LJW B CBV,,>LJW,prep,det,0,>LJW,,,
397544,BW>[,MT,1_Chronicles,11,25,B>,MN H CLWCJM HNW NKBD HW> W >L H CLWCH L> B> W JFJMHW DWJD <L MCM<TW,W >L H CLWCH L> B>,,>L H CLWCH,prep,det,0,>L,,,
397049,BW>[,MT,1_Chronicles,11,3,JB>W,W JB>W KL ZQNJ JFR>L >L H MLK XBRWNH W JKRT LHM DWJD BRJT B XBRWN L PNJ JHWH W JMCXW >T DWJD L MLK <L JFR>L K DBR JHWH B JD CMW>L,W JB>W KL ZQNJ JFR>L >L H MLK XBRWNH,KL ZQNJ JFR>L,>L H MLK,prep,det,0,>L,,,
397049,BW>[,MT,1_Chronicles,11,3,JB>W,W JB>W KL ZQNJ JFR>L >L H MLK XBRWNH W JKRT LHM DWJD BRJT B XBRWN L PNJ JHWH W JMCXW >T DWJD L MLK <L JFR>L K DBR JHWH B JD CMW>L,W JB>W KL ZQNJ JFR>L >L H MLK XBRWNH,KL ZQNJ JFR>L,XBRWNH,dir_he,det,1,,,,
397082,HLK[,MT,1_Chronicles,11,4,JLK,W JLK DWJD W KL JFR>L JRWCLM HJ> JBWS W CM H JBWSJ JCBJ H >RY,W JLK DWJD W KL JFR>L JRWCLM,DWJD W KL JFR>L,JRWCLM,vc,det,0,,,,
397104,BW>[,MT,1_Chronicles,11,5,TBW>,W J>MRW JCBJ JBWS L DWJD L> TBW> HNH W JLKD DWJD >T MYDT YJWN HJ> <JR DWJD,L> TBW> HNH,,HNH,vc,det,0,,,,
397131,<LH[,MT,1_Chronicles,11,6,J<L,W J>MR DWJD KL MKH JBWSJ B R>CWNH JHJH L R>C W L FR W J<L B R>CWNH JW>B BN YRWJH W JHJ L R>C,W J<L B R>CWNH JW>B BN YRWJH,JW>B BN YRWJH,no complement,,,,,,,
397175,HLK[,MT,1_Chronicles,11,9,JLK,W JLK DWJD HLWK W GDWL W JHWH YB>WT <MW,W JLK DWJD HLWK W GDWL,DWJD,no complement,,,,,,,
397177,HLK[,MT,1_Chronicles,11,9,HLWK,W JLK DWJD HLWK W GDWL W JHWH YB>WT <MW,W JLK DWJD HLWK W GDWL,DWJD,no complement,,,,,,,
397731,BW>[,MT,1_Chronicles,12,1,B>JM,W >LH H B>JM >L DWJD L YJQLG <WD <YWR M PNJ C>WL BN QJC W HMH B GBWRJM <ZRJ H MLXMH,H B>JM >L DWJD L YJQLG,,>L DWJD,prep,det,0,>L,,,
397731,BW>[,MT,1_Chronicles,12,1,B>JM,W >LH H B>JM >L DWJD L YJQLG <WD <YWR M PNJ C>WL BN QJC W HMH B GBWRJM <ZRJ H MLXMH,H B>JM >L DWJD L YJQLG,,L YJQLG,prep,det,0,L,,,
