,Verb_ID,Questions
0,212256,The verse is כִּ֣י תָבֹ֔אוּ לֵרָאֹ֖ות פָּנָ֑י מִי־בִקֵּ֥שׁ זֹ֛את מִיֶּדְכֶ֖ם רְמֹ֥ס חֲצֵרָֽי׃ .The verb I am interested in is תָבֹ֔אוּ .The clause of this verb is כִּ֣י תָבֹ֔אוּ . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. There is no complement to the verb in this clause. 
1,212269,The verse is לֹ֣א תֹוסִ֗יפוּ הָבִיא֙ מִנְחַת־שָׁ֔וְא קְטֹ֧רֶת תֹּועֵבָ֛ה הִ֖יא לִ֑י חֹ֤דֶשׁ וְשַׁבָּת֙ קְרֹ֣א מִקְרָ֔א לֹא־אוּכַ֥ל אָ֖וֶן וַעֲצָרָֽה׃ .The verb I am interested in is הָבִיא֙ .The clause of this verb is הָבִיא֙ מִנְחַת־שָׁ֔וְא . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. There is no complement to the verb in this clause. 
2,212315,The verse is רַחֲצוּ֙ הִזַּכּ֔וּ הָסִ֛ירוּ רֹ֥עַ מַעַלְלֵיכֶ֖ם מִנֶּ֣גֶד עֵינָ֑י חִדְל֖וּ הָרֵֽעַ׃ .The verb I am interested in is הָסִ֛ירוּ .The clause of this verb is הָסִ֛ירוּ רֹ֥עַ מַעַלְלֵיכֶ֖ם מִנֶּ֣גֶד עֵינָ֑י . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. The complement of the verb is מִנֶּ֣גֶד עֵינָ֑י . 
3,212333,The verse is לְכוּ־נָ֛א וְנִוָּֽכְחָ֖ה יֹאמַ֣ר יְהוָ֑ה אִם־יִֽהְי֨וּ חֲטָאֵיכֶ֤ם כַּשָּׁנִים֙ כַּשֶּׁ֣לֶג יַלְבִּ֔ינוּ אִם־יַאְדִּ֥ימוּ כַתֹּולָ֖ע כַּצֶּ֥מֶר יִהְיֽוּ׃ .The verb I am interested in is לְכוּ־.The clause of this verb is לְכוּ־נָ֛א . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. There is no complement to the verb in this clause. 
4,212418,The verse is שָׂרַ֣יִךְ סֹורְרִ֗ים וְחַבְרֵי֙ גַּנָּבִ֔ים כֻּלֹּו֙ אֹהֵ֣ב שֹׁ֔חַד וְרֹדֵ֖ף שַׁלְמֹנִ֑ים יָתֹום֙ לֹ֣א יִשְׁפֹּ֔טוּ וְרִ֥יב אַלְמָנָ֖ה לֹֽא־יָבֹ֥וא אֲלֵיהֶֽם׃ פ .The verb I am interested in is יָבֹ֥וא .The clause of this verb is וְרִ֥יב אַלְמָנָ֖ה לֹֽא־יָבֹ֥וא אֲלֵיהֶֽם׃ פ . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. The complement of the verb is אֲלֵיהֶֽם׃ פ . 
5,212437,The verse is וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ וְאֶצְרֹ֥ף כַּבֹּ֖ר סִיגָ֑יִךְ וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ׃ .The verb I am interested in is אָשִׁ֤יבָה .The clause of this verb is וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. The complement of the verb is עָלַ֔יִךְ . 
6,212447,The verse is וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ וְאֶצְרֹ֥ף כַּבֹּ֖ר סִיגָ֑יִךְ וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ׃ .The verb I am interested in is אָסִ֖ירָה .The clause of this verb is וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ׃ . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. There is no complement to the verb in this clause. 
7,212451,The verse is וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה וְיֹעֲצַ֖יִךְ כְּבַתְּחִלָּ֑ה אַחֲרֵי־כֵ֗ן יִקָּ֤רֵא לָךְ֙ עִ֣יר הַצֶּ֔דֶק קִרְיָ֖ה נֶאֱמָנָֽה׃ .The verb I am interested in is אָשִׁ֤יבָה .The clause of this verb is וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. There is no complement to the verb in this clause. 
8,212477,The verse is צִיֹּ֖ון בְּמִשְׁפָּ֣ט תִּפָּדֶ֑ה וְשָׁבֶ֖יהָ בִּצְדָקָֽה׃ .The verb I am interested in is שָׁבֶ֖יהָ .The clause of this verb is וְשָׁבֶ֖יהָ בִּצְדָקָֽה׃ . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. There is no complement to the verb in this clause. 
9,212570,The verse is וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים וְאָמְרוּ֙ לְכ֣וּ׀ וְנַעֲלֶ֣ה אֶל־הַר־יְהוָ֗ה אֶל־בֵּית֙ אֱלֹהֵ֣י יַעֲקֹ֔ב וְיֹרֵ֨נוּ֙ מִדְּרָכָ֔יו וְנֵלְכָ֖ה בְּאֹרְחֹתָ֑יו כִּ֤י מִצִּיֹּון֙ תֵּצֵ֣א תֹורָ֔ה וּדְבַר־יְהוָ֖ה מִירוּשָׁלִָֽם׃ .The verb I am interested in is הָלְכ֞וּ .The clause of this verb is וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים . There is no explicit subject to the verb in this clause. There is no object to the verb in this clause. There is no complement to the verb in this clause. 
