,Verb_ID,Clause,Complement
0,212256,,כִּ֣י תָבֹ֔אוּ לֵרָאֹ֖ות פָּנָ֑י
1,212269,,הָבִיא֙ מִנְחַת־שָׁ֔וְא
2,212315,הָסִ֛ירוּ רֹ֥עַ מַעַלְלֵיכֶ֖ם מִנֶּ֣גֶד עֵינָ֑י,מִנֶּ֣גֶד עֵינָ֑י
3,212333,לְכוּ־נָ֛א וְנִוָּֽכְחָ֖ה יֹאמַ֣ר יְהוָ֑ה,2) The complement of the motion verb לְכוּ־ is not explicitly mentioned within the clause
4,212418,וְרִ֥יב אַלְמָנָ֖ה לֹֽא־יָבֹ֥וא אֲלֵיהֶֽם׃,אֲלֵיהֶֽם׃ 
5,212437,וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ,יָדִי֙ עָלַ֔יִךְ
6,212447,וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ,כָּל־בְּדִילָֽיִךְ
7,212451,וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה,שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה
8,212477,The clause of the motion verb שָׁבֶ֖יהָ is וְשָׁבֶ֖יהָ בִּצְדָקָֽה,The complement of the motion verb שָׁבֶ֖יהָ is בִּצְדָקָֽה
9,212570,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים,עַמִּ֣ים רַבִּ֗ים
