category,False,True,percentage,model_temp,size,status
complex,286,0,0.0,GPT-4o mini (T=0),large,base
simple_1_clause,237,27,10.2,GPT-4o mini (T=0),large,base
simple_2_clauses,183,233,56.0,GPT-4o mini (T=0),large,base
simple_3_clauses,329,155,32.0,GPT-4o mini (T=0),large,base
simple_4_clauses,349,77,18.1,GPT-4o mini (T=0),large,base
simple_5plus_clauses,705,35,4.7,GPT-4o mini (T=0),large,base
complex,109,0,0.0,GPT-4o mini (T=0),medium,base
simple_1_clause,99,16,13.9,GPT-4o mini (T=0),medium,base
simple_2_clauses,63,92,59.4,GPT-4o mini (T=0),medium,base
simple_3_clauses,133,63,32.1,GPT-4o mini (T=0),medium,base
simple_4_clauses,133,23,14.7,GPT-4o mini (T=0),medium,base
simple_5plus_clauses,254,15,5.6,GPT-4o mini (T=0),medium,base
complex,21,0,0.0,GPT-4o mini (T=0),small,base
simple_1_clause,19,0,0.0,GPT-4o mini (T=0),small,base
simple_2_clauses,13,17,56.7,GPT-4o mini (T=0),small,base
simple_3_clauses,24,12,33.3,GPT-4o mini (T=0),small,base
simple_4_clauses,23,7,23.3,GPT-4o mini (T=0),small,base
simple_5plus_clauses,63,1,1.6,GPT-4o mini (T=0),small,base
complex,286,0,0.0,GPT-4o (T=0),large,base
simple_1_clause,227,37,14.0,GPT-4o (T=0),large,base
simple_2_clauses,136,280,67.3,GPT-4o (T=0),large,base
simple_3_clauses,275,209,43.2,GPT-4o (T=0),large,base
simple_4_clauses,331,95,22.3,GPT-4o (T=0),large,base
simple_5plus_clauses,704,36,4.9,GPT-4o (T=0),large,base
complex,109,0,0.0,GPT-4o (T=0),medium,base
simple_1_clause,97,18,15.7,GPT-4o (T=0),medium,base
simple_2_clauses,46,109,70.3,GPT-4o (T=0),medium,base
simple_3_clauses,110,86,43.9,GPT-4o (T=0),medium,base
simple_4_clauses,127,29,18.6,GPT-4o (T=0),medium,base
simple_5plus_clauses,260,9,3.3,GPT-4o (T=0),medium,base
complex,21,0,0.0,GPT-4o (T=0),small,base
simple_1_clause,17,2,10.5,GPT-4o (T=0),small,base
simple_2_clauses,11,19,63.3,GPT-4o (T=0),small,base
simple_3_clauses,23,13,36.1,GPT-4o (T=0),small,base
simple_4_clauses,25,5,16.7,GPT-4o (T=0),small,base
simple_5plus_clauses,63,1,1.6,GPT-4o (T=0),small,base
complex,195,91,31.8,GPT-4o mini (T=0),large,fine-tuned
simple_1_clause,35,229,86.7,GPT-4o mini (T=0),large,fine-tuned
simple_2_clauses,90,326,78.4,GPT-4o mini (T=0),large,fine-tuned
simple_3_clauses,108,376,77.7,GPT-4o mini (T=0),large,fine-tuned
simple_4_clauses,103,323,75.8,GPT-4o mini (T=0),large,fine-tuned
simple_5plus_clauses,255,485,65.5,GPT-4o mini (T=0),large,fine-tuned
complex,87,22,20.2,GPT-4o mini (T=0),medium,fine-tuned
simple_1_clause,23,92,80.0,GPT-4o mini (T=0),medium,fine-tuned
simple_2_clauses,42,113,72.9,GPT-4o mini (T=0),medium,fine-tuned
simple_3_clauses,52,144,73.5,GPT-4o mini (T=0),medium,fine-tuned
simple_4_clauses,65,91,58.3,GPT-4o mini (T=0),medium,fine-tuned
simple_5plus_clauses,120,149,55.4,GPT-4o mini (T=0),medium,fine-tuned
complex,21,0,0.0,GPT-4o mini (T=0),small,fine-tuned
simple_1_clause,4,15,78.9,GPT-4o mini (T=0),small,fine-tuned
simple_2_clauses,13,17,56.7,GPT-4o mini (T=0),small,fine-tuned
simple_3_clauses,13,23,63.9,GPT-4o mini (T=0),small,fine-tuned
simple_4_clauses,15,15,50.0,GPT-4o mini (T=0),small,fine-tuned
simple_5plus_clauses,38,26,40.6,GPT-4o mini (T=0),small,fine-tuned
complex,136,150,52.4,GPT-4o (T=0),large,fine-tuned
simple_1_clause,32,232,87.9,GPT-4o (T=0),large,fine-tuned
simple_2_clauses,58,358,86.1,GPT-4o (T=0),large,fine-tuned
simple_3_clauses,75,409,84.5,GPT-4o (T=0),large,fine-tuned
simple_4_clauses,72,354,83.1,GPT-4o (T=0),large,fine-tuned
simple_5plus_clauses,190,550,74.3,GPT-4o (T=0),large,fine-tuned
complex,76,33,30.3,GPT-4o (T=0),medium,fine-tuned
simple_1_clause,16,99,86.1,GPT-4o (T=0),medium,fine-tuned
simple_2_clauses,25,130,83.9,GPT-4o (T=0),medium,fine-tuned
simple_3_clauses,33,163,83.2,GPT-4o (T=0),medium,fine-tuned
simple_4_clauses,44,112,71.8,GPT-4o (T=0),medium,fine-tuned
simple_5plus_clauses,81,188,69.9,GPT-4o (T=0),medium,fine-tuned
complex,17,4,19.0,GPT-4o (T=0),small,fine-tuned
simple_1_clause,1,18,94.7,GPT-4o (T=0),small,fine-tuned
simple_2_clauses,8,22,73.3,GPT-4o (T=0),small,fine-tuned
simple_3_clauses,8,28,77.8,GPT-4o (T=0),small,fine-tuned
simple_4_clauses,10,20,66.7,GPT-4o (T=0),small,fine-tuned
simple_5plus_clauses,24,40,62.5,GPT-4o (T=0),small,fine-tuned
