,Verb_ID,Clause,Complement
0,212256,,כִּ֣י תָבֹ֔אוּ לֵרָאֹ֖ות פָּנָ֑י
1,212269,הָבִיא֙ מִנְחַת־שָׁ֔וְא,מִנְחַת־שָׁ֔וְא
2,212315,הָסִ֛ירוּ רֹ֥עַ מַעַלְלֵיכֶ֖ם מִנֶּ֣גֶד עֵינָ֑י,מִנֶּ֣גֶד עֵינָ֑י
3,212333,לְכוּ־נָ֛א וְנִוָּֽכְחָ֖ה,2) There is no complement to the motion verb לְכוּ־ The clause seems to denote a mutual engagement or action (let us argue/reason) rather than a specific destination or goal
4,212418,וְרִ֥יב אַלְמָנָ֖ה לֹֽא־יָבֹ֥וא אֲלֵיהֶֽם,אֲלֵיהֶֽם
5,212437,וְאָשִׁ֤יבָה יָדִי֙ עָלַ֔יִךְ ,עָלַ֔יִךְ 
6,212447,וְאָסִ֖ירָה כָּל־בְּדִילָֽיִךְ,"2) In this clause, the verb אָסִ֖ירָה has no complement The verb meaning ""I will remove"" suggests action but does not directly indicate a specific location or destination the action is directed towards"
7,212451,וְאָשִׁ֤יבָה שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה,שֹׁפְטַ֨יִךְ֙ כְּבָרִ֣אשֹׁנָ֔ה
8,212477,וְשָׁבֶ֖יהָ בִּצְדָקָֽה׃,בִּצְדָקָֽה
9,212570,וְֽהָלְכ֞וּ עַמִּ֣ים רַבִּ֗ים,עַמִּ֣ים רַבִּ֗ים
